Date,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29
2022-07-08,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-11,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-12,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-13,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-14,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-15,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-18,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-19,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-20,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
2022-07-21,0.011944951,0.015411642,0.023550192,0.01940086,0.020647248,0.021414258,0.028584473,0.022068776,0.01999677,0.019107161,0.027583096,0.018418498,0.021340651,0.021417433,0.022708973,0.021267224,0.01817164,0.019670393,0.037745796,0.026909705,0.044824954,0.027352395,0.05551665,0.020383384,0.079535276,0.21044868,0.019979272,0.027425233,0.029560007,0.04761442
